rawName,canonicalName,entityType,confidence,matchMethod
Merceley,Merceley,STARTUP,0.9,NORMALIZED_TITLE
Sureshchittewar,Sureshchittewar,STARTUP,0.9,NORMALIZED_TITLE
Pietermey,Pietermey,STARTUP,0.9,NORMALIZED_TITLE
Davenorton912,Davenorton912,STARTUP,0.9,NORMALIZED_TITLE
Nadinegp,Nadinegp,STARTUP,0.9,NORMALIZED_TITLE
Gauravvaid Shell,Gauravvaid Shell,STARTUP,0.9,NORMALIZED_TITLE
Anirbanbanerjee170577,Anirbanbanerjee170577,STARTUP,0.9,NORMALIZED_TITLE
Supersaiyan1729,Supersaiyan1729,STARTUP,0.9,NORMALIZED_TITLE
Pravincoder,Pravincoder,STARTUP,0.9,NORMALIZED_TITLE
Bipulparua,Bipulparua,STARTUP,0.9,NORMALIZED_TITLE
Ltewari,Ltewari,STARTUP,0.9,NORMALIZED_TITLE
Sachin9474,Sachin9474,STARTUP,0.9,NORMALIZED_TITLE
